epoch,train_loss,val_loss,val_success,val_iou,val_angle_deg,experiment,seed,model,modality,status
1,0.038107197580708,0.0324396657757461,0.1140854047163798,0.1499453965955096,18.124356312446647,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
2,0.0356214209753382,0.0333291482925415,0.1434034416826003,0.1666739486703476,19.262096507682024,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
3,0.0350553540865311,0.0366888120397925,0.0,0.0037754215517764,18.453867769901976,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
4,0.0345040031851411,0.0733207837119698,0.0,0.0019099404383951,22.547882116274323,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
5,0.0331332921847566,0.0447460434958338,0.0025493945188017,0.0107190196655821,18.43108500839915,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
6,0.0322234134550567,0.0907157800346613,0.0,0.0250125139332812,22.486802538855244,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
7,0.031752054839655,0.0329482957161963,0.3295092415551306,0.2916960033177566,18.591270081785293,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
8,0.0308938750678354,0.0846399360150098,0.0822179732313575,0.1476447990409604,22.95002004377798,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
9,0.0307115026422449,0.0334171472489833,0.1752708731676227,0.1678443313844481,18.317232203385448,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
10,0.0296918212662677,0.0455378993228077,0.0650095602294455,0.0752258151295785,21.498852636965744,EXP1_SIMPLE_RGB,2,SimpleGraspCNN,RGB,oficial
1,0.0378418702565066,0.0320075828954577,0.2281708094327597,0.2299933910494202,17.38330041044722,EXP2_SIMPLE_RGBD,0,SimpleGraspCNN,RGB-D,oficial
2,0.0359021231599219,0.0318712587468326,0.3231357552581262,0.2909804204910168,17.336461406592043,EXP2_SIMPLE_RGBD,0,SimpleGraspCNN,RGB-D,oficial
3,0.0354253605410859,0.0341110957972705,0.1032504780114722,0.1469528888574686,20.235380948304304,EXP2_SIMPLE_RGBD,0,SimpleGraspCNN,RGB-D,oficial
4,0.0352838237409119,0.0320366797596216,0.2676864244741874,0.2399635415853999,17.60457461033912,EXP2_SIMPLE_RGBD,0,SimpleGraspCNN,RGB-D,oficial
5,0.0351881747478031,0.0327526179887354,0.2001274697259401,0.2158707942665594,19.145055309837154,EXP2_SIMPLE_RGBD,0,SimpleGraspCNN,RGB-D,oficial
6,0.0351805459238118,0.0320706460997462,0.3537284894837476,0.2821786478438602,18.13095578074279,EXP2_SIMPLE_RGBD,0,SimpleGraspCNN,RGB-D,oficial
7,0.0351100339646543,0.0326769392937421,0.1567877629063097,0.188075046414914,18.807934834929725,EXP2_SIMPLE_RGBD,0,SimpleGraspCNN,RGB-D,oficial
8,0.0351080852518747,0.0324942324310541,0.2179732313575526,0.1699065398225384,17.706087354453913,EXP2_SIMPLE_RGBD,0,SimpleGraspCNN,RGB-D,oficial
